_id,dataset_id,compressor,compressor_type,compression_memory,dataset_type,compression_time,compression_cpu_usage,compressed_size,original_size,decompression_cpu_usage,decompression_memory,decompression_time
6815dae01969d4a304aecb33,PlFa,cmix,proposed,0.0,dna,0.0,0.0,0.0,8986712.0,0.0,0.0,0.0
6815dae01969d4a304aecb34,WaMe,7-zip,standard,10020.0,dna,6.0,8.0,23697006.0,9144432.0,0.0,0.0,0.75
6815dae01969d4a304aecb35,WaMe,7-zip,proposed,928.0,dna,0.89,0.0,2271067.0,9144432.0,0.0,0.0,0.62
6815dae01969d4a304aecb36,WaMe,paq8px,standard,0.0,dna,1281.0,6.0,2216752.0,9144432.0,0.0,0.0,1266.0
6815dae01969d4a304aecb37,WaMe,paq8px,proposed,3812.0,dna,730.0,6.0,2229679.0,9144432.0,0.0,0.0,715.0
6815dae01969d4a304aecb38,WaMe,bsc,standard,3056.0,dna,2.78,6.0,2255964.0,9144432.0,0.0,0.0,2.5
6815dae01969d4a304aecb39,WaMe,bsc,proposed,2308.0,dna,2.48,6.0,2252404.0,9144432.0,0.0,0.0,2.0
6815dae01969d4a304aecb3a,WaMe,gzip,standard,3512.0,dna,11.0,6.0,2607236.0,9144432.0,0.0,0.0,0.61
6815dae01969d4a304aecb3b,WaMe,gzip,proposed,2788.0,dna,1.19,0.0,2275712.0,9144432.0,0.0,0.0,0.55
6815dae01969d4a304aecb3c,WaMe,zstd,standard,3512.0,dna,8.0,6.0,2286369.0,9144432.0,0.0,0.0,0.55
6815dae11969d4a304aecb3d,WaMe,zstd,proposed,1268.0,dna,2.39,0.0,2271406.0,9144432.0,0.0,0.0,0.48
6815dae11969d4a304aecb3e,WaMe,bzip2,standard,1304.0,dna,2.39,0.0,2477927.0,9144432.0,0.0,0.0,1.3
6815dae11969d4a304aecb3f,WaMe,bzip2,proposed,2348.0,dna,1.11,0.0,2287705.0,9144432.0,0.0,0.0,1.11
6815dae11969d4a304aecb40,WaMe,zpaq,standard,3484.0,dna,28.0,6.0,2233510.0,9144432.0,0.0,0.0,26.0
6815dae11969d4a304aecb41,WaMe,zpaq,proposed,3812.0,dna,9.0,6.0,2241711.0,9144432.0,0.0,0.0,10.0
6815dae11969d4a304aecb42,WaMe,cmix,standard,0.0,dna,0.0,0.0,0.0,9144432.0,0.0,0.0,0.0
6815dae11969d4a304aecb43,WaMe,cmix,proposed,0.0,dna,0.0,0.0,0.0,9144432.0,0.0,0.0,0.0
6815dae11969d4a304aecb44,ScPo,7-zip,standard,14040.0,dna,9.0,8.0,2722916.0,10652155.0,0.0,0.0,0.79
6815dae11969d4a304aecb45,ScPo,7-zip,proposed,3300.0,dna,0.91,0.0,2612122.0,10652155.0,0.0,0.0,0.65
6815dae11969d4a304aecb46,ScPo,paq8px,standard,20160.0,dna,1462.0,6.0,2540844.0,10652155.0,0.0,0.0,1443.0
6815dae11969d4a304aecb47,ScPo,paq8px,proposed,4692.0,dna,860.0,6.0,2568730.0,10652155.0,0.0,0.0,821.0
6815dae11969d4a304aecb48,ScPo,bsc,standard,4356.0,dna,3.45,6.0,2609144.0,10652155.0,0.0,0.0,3.0
6815dae11969d4a304aecb49,ScPo,bsc,proposed,4080.0,dna,2.78,6.0,2602562.0,10652155.0,0.0,0.0,2.0
6815dae11969d4a304aecb4a,ScPo,gzip,standard,3884.0,dna,13.0,6.0,3011503.0,10652155.0,0.0,0.0,0.67
6815dae11969d4a304aecb4b,ScPo,gzip,proposed,2748.0,dna,1.22,0.0,2635346.0,10652155.0,0.0,0.0,0.64
6815dae11969d4a304aecb4c,ScPo,zstd,standard,3416.0,dna,11.0,6.0,2818094.0,10652155.0,0.0,0.0,0.57
6815dae11969d4a304aecb4d,ScPo,zstd,proposed,1956.0,dna,2.52,0.0,2591228.0,10652155.0,0.0,0.0,0.54
6815dae11969d4a304aecb4e,ScPo,bzip2,standard,2744.0,dna,1.0,6.0,2888891.0,10652155.0,0.0,0.0,1.4
6815dae11969d4a304aecb4f,ScPo,bzip2,proposed,2764.0,dna,1.23,0.0,2661044.0,10652155.0,0.0,0.0,0.92
6815dae21969d4a304aecb50,ScPo,zpaq,standard,2160.0,dna,33.0,6.0,2575304.0,10652155.0,0.0,0.0,35.0
6815dae21969d4a304aecb51,ScPo,zpaq,proposed,4692.0,dna,12.0,6.0,2581159.0,10652155.0,0.0,0.0,14.0
6815dae21969d4a304aecb52,ScPo,cmix,standard,0.0,dna,0.0,0.0,0.0,10652155.0,0.0,0.0,0.0
6815dae21969d4a304aecb53,ScPo,cmix,proposed,0.0,dna,0.0,0.0,0.0,10652155.0,0.0,0.0,0.0
6815dae21969d4a304aecb54,EnIn,7-zip,standard,32644.0,dna,24.0,8.0,5785723.0,26403087.0,0.0,0.0,0.84
6815dae21969d4a304aecb55,EnIn,7-zip,proposed,5504.0,dna,0.96,0.0,6045333.0,26403087.0,0.0,0.0,0.69
6815dae21969d4a304aecb56,EnIn,paq8px,standard,0.0,dna,0.0,0.0,0.0,26403087.0,0.0,0.0,0.0
6815dae21969d4a304aecb57,EnIn,paq8px,proposed,0.0,dna,0.0,0.0,0.0,26403087.0,0.0,0.0,0.0
6815dae21969d4a304aecb58,EnIn,bsc,standard,9140.0,dna,7.87,6.0,6146344.0,26403087.0,0.0,0.0,7.0
6815dae21969d4a304aecb59,EnIn,bsc,proposed,7784.0,dna,5.0,6.0,6200142.0,26403087.0,0.0,0.0,4.0
6815dae21969d4a304aecb5a,EnIn,gzip,standard,7860.0,dna,35.0,6.0,7392766.0,26403087.0,0.0,0.0,0.71
6815dae21969d4a304aecb5b,EnIn,gzip,proposed,6780.0,dna,1.25,0.0,6456544.0,26403087.0,0.0,0.0,0.68
6815dae21969d4a304aecb5c,EnIn,zstd,standard,5168.0,dna,28.0,6.0,5900121.0,26403087.0,0.0,0.0,0.61
6815dae21969d4a304aecb5d,EnIn,zstd,proposed,4932.0,dna,2.73,6.0,6065392.0,26403087.0,0.0,0.0,0.6
6815dae21969d4a304aecb5e,EnIn,bzip2,standard,7700.0,dna,2.0,6.0,7097041.0,26403087.0,0.0,0.0,1.5
6815dae21969d4a304aecb5f,EnIn,bzip2,proposed,6452.0,dna,1.36,0.0,6524803.0,26403087.0,0.0,0.0,0.96
6815dae21969d4a304aecb60,EnIn,zpaq,standard,7372.0,dna,81.0,6.0,6127811.0,26403087.0,0.0,0.0,80.0
6815dae21969d4a304aecb61,EnIn,zpaq,proposed,7816.0,dna,25.0,5.0,6152151.0,26403087.0,0.0,0.0,26.0
6815dae21969d4a304aecb62,EnIn,cmix,standard,0.0,dna,0.0,0.0,0.0,26403087.0,0.0,0.0,0.0
6815dae31969d4a304aecb63,EnIn,cmix,proposed,0.0,dna,0.0,0.0,0.0,26403087.0,0.0,0.0,0.0
6815dae31969d4a304aecb64,DrMe,7-zip,standard,39756.0,dna,29.0,8.0,8016255.0,32181429.0,0.0,0.0,0.88
6815dae31969d4a304aecb65,DrMe,7-zip,proposed,6144.0,dna,1.47,0.0,7848549.0,32181429.0,0.0,0.0,0.72
6815dae31969d4a304aecb66,DrMe,paq8px,standard,0.0,dna,0.0,0.0,0.0,32181429.0,0.0,0.0,0.0
6815dae31969d4a304aecb67,DrMe,paq8px,proposed,0.0,dna,0.0,0.0,0.0,32181429.0,0.0,0.0,0.0
6815dae31969d4a304aecb68,DrMe,bsc,standard,8656.0,dna,11.0,5.0,7759852.0,32181429.0,0.0,0.0,9.0
6815dae31969d4a304aecb69,DrMe,bsc,proposed,10484.0,dna,7.0,6.0,7775872.0,32181429.0,0.0,0.0,6.0
6815dae31969d4a304aecb6a,DrMe,gzip,standard,8436.0,dna,36.0,6.0,9083059.0,32181429.0,0.0,0.0,0.75
6815dae31969d4a304aecb6b,DrMe,gzip,proposed,7688.0,dna,1.34,0.0,7989114.0,32181429.0,0.0,0.0,0.73
6815dae31969d4a304aecb6c,DrMe,zstd,standard,6324.0,dna,32.0,6.0,7880760.0,32181429.0,0.0,0.0,0.67
6815dae31969d4a304aecb6d,DrMe,zstd,proposed,6560.0,dna,3.05,6.0,7856857.0,32181429.0,0.0,0.0,0.67
6815dae31969d4a304aecb6e,DrMe,bzip2,standard,9864.0,dna,3.0,6.0,8683554.0,32181429.0,0.0,0.0,2.0
6815dae31969d4a304aecb6f,DrMe,bzip2,proposed,9096.0,dna,1.57,0.0,8001463.0,32181429.0,0.0,0.0,1.0
6815dae31969d4a304aecb70,DrMe,zpaq,standard,9420.0,dna,96.0,6.0,7613540.0,32181429.0,0.0,0.0,98.0
6815dae31969d4a304aecb71,DrMe,zpaq,proposed,9016.0,dna,31.0,6.0,7706295.0,32181429.0,0.0,0.0,30.0
6815dae31969d4a304aecb72,DrMe,cmix,standard,0.0,dna,0.0,0.0,0.0,32181429.0,0.0,0.0,0.0
6815dae31969d4a304aecb73,DrMe,cmix,proposed,0.0,dna,0.0,0.0,0.0,32181429.0,0.0,0.0,0.0
6815dae31969d4a304aecb74,OrSa,7-zip,standard,48708.0,dna,40.0,8.0,9344839.0,43262523.0,0.0,0.0,0.92
6815dae31969d4a304aecb75,OrSa,7-zip,proposed,9064.0,dna,1.73,10.0,9709824.0,43262523.0,0.0,0.0,0.81
6815dae31969d4a304aecb76,OrSa,paq8px,standard,0.0,dna,0.0,0.0,0.0,43262523.0,0.0,0.0,0.0
6815dae41969d4a304aecb77,OrSa,paq8px,proposed,0.0,dna,0.0,0.0,0.0,43262523.0,0.0,0.0,0.0
6815dae41969d4a304aecb78,OrSa,bsc,standard,11444.0,dna,13.0,6.0,9928736.0,43262523.0,0.0,0.0,9.0
6815dae41969d4a304aecb79,OrSa,bsc,proposed,10820.0,dna,9.0,5.0,10071484.0,43262523.0,0.0,0.0,7.0
